word,example
"댄스 홀","6.25 전쟁 이후 미국 문화의 하나인 댄스 홀이 본격적으로 생기기 시작했다."
"더블","더블 수비를 뚫고 거침없이 골대를 향해 달려갔다."
"더블 룸","근처에 있는 숙소로 이동해 더블 룸에 투숙하였다."
"더블 캐스팅","뮤지컬의 더블 캐스팅은 배우의 매력을 비교 감상할 수 있다는 장점이 있다."
"더블딥","코로나 4차 대유행으로 경기 더블딥 공포가 커지고 있다."
"더블베드","항공기에 더블베드 침실·욕실까지 등장했다."
"더블펀치","코로나·유가 폭락 더블 펀치에 주요국들의 국가 부도 위험이 커졌다."
"더치페이","불황이 일상화된 시대의 젊은이들에게 더치페이는 너무나 당연하다."
"데드 크로스","2020년 처음으로 사망자 수가 출생아 수를 앞지르는 인구 데드 크로스가 발생했다."
"데드라인","기자들은 데드라인에 임박해서야 집중력을 발휘하여 마무리를 한다."
"데모","오염수 방류 문제로 일본 국회 앞에서는 연일 반대 데모가 열렸다."
"데모데이","새싹 기업을 위한 데모데이를 개최하여 해외 투자 가능성을 검증한다."
"데미지","교통사고로 뇌 뿐만 아니라 신장 쪽 데미지가 우려된다."
"데뷔","한국에서는 대개 신문사나 출판사의 신인 공모를 통해 작가로 데뷔한다."
"데스 노트","정의당이 후보자를 데스 노트에 올리며 지명 철회를 요구했다."
"데스크","해외 주식 투자 돕는 증권사 '해외 데스크'는 야간에도 운영한다."
"데스크테리어","지루한 업무 공간을 창조적인 공간으로 만드는 데스크테리어가 인기다."
"데이케어","데이케어 서비스를 이용해 어르신들이 보다 나은 삶을 유지할 수 있다."
"데이터","국토교통부는 국토 교통 데이터를 통합·제공하는 서비스를 시작한다."
"데이터 레이블러","'데이터 레이블러'는 인공지능 학습 데이터를 수집 및 가공하는 새로운 직업이다."
"데이터 레이블링","과학 기술 분야의 기계 학습 데이터 레이블링 전문 인력을 양성한다."
"데이터 로밍","데이터 로밍 이용하면 '음성 통화'도 무료로 할 수 있다."
"데이터 마이닝","개인정보가 유출되는 일을 '데이터 마이닝'으로 원천 차단할 수 있다."
"데이터 바우처","데이터 바우처로 소상공인을 지원한다."
"데이터 뱅크","기업 정보를 개방해 데이터 뱅크로 진화할 계획을 세웠다."
"데이트레이딩","개인 투자자가 꼭 알아야 할 '데이트레이딩' 기법을 알려준다."
"데일리","시민의 사연을 골라 음악과 함께 쏘아 올리는 데일리 불꽃쇼가 펼쳐진다."
"데일리 메뉴","매일 색다르게 선보이는 요리사의 데일리 메뉴가 눈길을 끈다."
"데일리 웨어","봄에 어울리는 데일리 웨어를 추천한다."
"데자뷔","막을 수 있었던 부산 산사태, '우면산 사태'의 데자뷔 같았다."
"데칼코마니","괴산 은행나무길이 아름다운 '데칼코마니' 풍경을 선사한다."
"데커레이션","데커레이션을 중시하는 남다른 요리 철학이 특징이다."
"데탕트","2단계 협상 등 불씨는 남았지만, 무역 전쟁 데탕트 시대 열렸다."
"덱","9월 원목과 제재목은 변동이 없고 <<데크>>재가 3% 올랐다."
"덱 로드","덱 로드에서 야영장으로 가는 구간에 맨발로 다니는 습식 황톳길을 만들었다."
"델타","델타 구조의 방적사를 이용한 신발용 갑피 소재가 개발됐다."
"도그마","종교적 도그마와 정치적 편견으로부터 자유로운 교육을 해야 한다."
"도네이션","아프리카 낙후 지역을 돕는 도네이션 행사가 쏟아졌다."
"도미노","한 분야의 침체가 전체 경기 침체로 도미노 효과를 일으킬 수 있다."
"도슨트","전시에서는 어린이 도슨트의 설명과 함께 근현대 작품 33점을 볼 수 있다."
"도슨트 북","퀸 내한 공연을 도슨트 북으로 즐긴다."
"도어 록","다세대 주택의 공동 현관에는 도어 록이 없는 경우가 많아 보안에 유의해야 한다."
"도어맨","최근에는 도어맨이 있는 호텔이 줄어드는 추세다."
"도어스테핑","도어스테핑을 통해 대통령과 언론이 직접 소통한다."
"도킹","미국 첫 민간 유인 우주선, 발사 19시간 만에 우주 정거장에 도킹했다."
"도핑","도핑 조작이 발각되면 올림픽·월드컵 등 4년간 출전이 금지된다."
"돔 하우스","탐나는 친환경 조립식 돔 하우스가 출시됐다."
"돔형","인천시, 친환경·돔형·지하 매립 방식 자체 매립지 조성을 추진한다."
"동물가드펜스","동물 교통사고를 예방하기 위해 동물가드펜스를 설치했다."
"듀레이션","올해 해외 주식, 국공채 듀레이션 확대한다."
"듀얼","듀얼 화면으로 즐기는 게임이 더 재미있다."
"듀얼 라이프","주말 농장을 가꾸며 듀얼 라이프를 즐긴다."
"듀얼 컨버터","차량용 최신 듀얼 컨버터 제품군이 출시됐다."
"듀프","지난해 젊은 층을 중심으로 유행한 '듀프' 소비는 올해도 계속되는 모양새이다."
"드라이 리스","대통령 전용기는 효율성 면에서 드라이 리스보다는 구입하는 게 바람직하다."
"드라이 에이징","드라이 에이징 육류가 뜬다."
"드라이버","연봉 3600만 원, 정규직 드라이버 40명 공개 채용한다."
"드라이버 라이선스","국내 드라이버 라이선스 규정을 간소화하기로 했다."
"드라이브","언론에서는 정부의 탈원전 드라이브로 인한 전력 공백을 우려했다."
"드라이브 정책","내수 감소로 인한 판매 부진 극복을 위해 수출 드라이브 정책을 시행한다."
"드라이브 코스","대청호는 야산과 수목이 호수 위에 펼쳐져 있어 드라이브 코스로 유명하다."
"드라이브 픽","창원교육지원청은 '드라이브 픽 민원 서비스'를 시행했다."
"드라이브스루","세계가 주목한 '드라이브스루 진료' 국제 표준 채택될까?"
"드라이빙","반려동물과 드라이빙을 하려면 안전 수칙을 꼭 지켜야 한다."
"드라이빙 가이드","전용 차량으로 제주 드라이빙 가이드 서비스를 제공한다."
"드라이플라워","드라이플라워는 화훼가 아닌 예술이다."
"드래그","손으로 그대로 드래그하면 문서화되는 기능이 생겼다."
"드레스 룸","드레스 룸은 화상 회의 공간으로, 집 설계에도 집콕 문화를 반영한다."
"드레스 코드","기성 정치인들과 다른 옷차림은 국회 드레스 코드 논쟁을 일으키기도 했다."
"드레싱","전기로 상처 소독하는 '전기장 드레싱' 개발됐다."
"드리프트 앵글","일정한 드리프트 앵글을 허용하는 운전을 즐긴다."
"드리핑","전시에서 드리핑 기법으로 표현한 추상 작품 70점을 선보인다."
"드림 팀","경기도 중소기업의 수출 활성화를 위해 드림 팀이 뭉쳤다."
"드립 커피","베트남의 대표적인 커피 문화로는 드립 커피가 꼽힌다."
"드링크","에너지 드링크, 홍삼 음료 매출 제쳤다."
"디데이","어느덧 수능 디데이가 10일 앞으로 다가왔다."
"디도스","디도스 공격은 어떻게 발전하고 있나."
"디도스 공격","디도스 공격은 어떻게 발전하고 있나."
"디렉터","이적 시장 성과가 미비한 맨유에 전문 디렉터를 선임해야 한다는 말이 나온다."
"디마케팅","보험 업계에 고객을 까다롭게 받는 디마케팅 바람이 불고 있다."
"디밍","디밍 기능이 없어 야간에 계속 켜져 있던 주차장 진입로 조명이 에너지 절약 테두리 속으로 들어온다."
"디바이스","동영상·게임에 푹 빠진 '집콕족'을 위한 디바이스, 더 커지고 더 빨라진다."
"디버거","휴대폰 전용 디버거를 혁신적 소프트웨어로 개발한다."
"디버그","신뢰할 수 있는 기계 학습을 구축하려면 디버그 기능이 중요하다."
"디버깅","구글 딥마인드는 알파고의 패배를 유의미한 '디버깅' 성과로 판단했다."
"디베이트","대전 고교생 영어 디베이트 한마당이 열렸다."
"디벨로퍼","최고 인재들 몰려들 수 있도록 디벨로퍼 사업 환경을 개선할 것이다."
"디브레인","디브레인 운영 맡는 한국재정정보원이 출범했다."
"디브리핑","국립중앙의료원은 감염병 대응을 위한 전문가 실무 교육 과정을 개최했다. 이 교육에서는 모의훈련과 디브리핑 등이 진행됐다."
"디비전","결승 1디비전 경기에서 36초 24의 기록으로 우승했다."
"디스인플레이션","튀르키예 중앙은행은 디스인플레이션에 대응하기 위해 금리를 인하했다."
"디스카운트","전세 낀 매물 인기 시들해져, 세입자 디스카운트 1억인 매물도 나왔다."
"디스커버리","한국형 디스커버리 도입해 중소기업 기술을 전방위로 보호한다."
"디스커버리 제도","재판에서 원고는 디스커버리 제도를 통해 피고가 가진 문서를 요청했다."
"디스크","시상식에서는 디지털 음원 본상 5팀, 디스크 부문 5팀이 선정된다."
"디스토피아","2035년 대한민국 기후 디스토피아 미래 예측 보고서가 나왔다."
"디스펜서","공중 화장실 70곳에 물비누 디스펜서를 설치했다."
"디엠","광고 전단과 디엠 발송지를 모두 재생용지로 바꿨다."
"디오더런트","땀 냄새 없애는 디오더런트, 알고 보니 만능 화장품이다."
"디자인 풀","ㅋ기업은 디자인 풀로 유명한 기업과의 협업을 통해 전문인력을 확보했다."
"디자인 허브","디자인 허브로 도약하는 동대문디자인플라자가 5주년을 맞았다."
"디제라티","디제라티의 활동 영역은 기업경영, 정치 등 전 분야에 걸쳐 있다."
"디지로그","대치도서관은 ‘디지로그 문화 서비스’를 제공한다고 밝혔다."
"디지스트","디지스트, 특기자 전형 10명 등 210명을 선발했다."
"디지털 네이티브","현 세대는 현실보다 가상 세계가 더 익숙한 디지털 네이티브다."
"디지털 노마드족","디지털 노마드족을 위한 '주거+업무' 공간은?"
"디지털 도어 록","디지털 도어 록, 외부 화염 충격 실험 결과 안전함이 드러났다."
"디지털 디바이드","고령층의 디지털 역량이 낮아 연령대별 디지털 디바이드가 심각한 수준이다."
"디지털 디톡스","사회적 거리두기도 중요하지만 우리에겐 ‘디지털 디톡스’가 필요하다."
"디지털 모빌리티","디지털 모빌리티의 새로운 유행이 시작됐다."
"디지털 배지","디지털 배지는 학습 경험과 성과를 디지털 형식으로 인증하는 도구로, 개인의 학습 이력을 디지털 지갑에 저장 후 활용할 수 있다."
"디지털 사이니지","편의점 계산대에 설치한 ‘디지털 사이니지’로 매출도 쑥쑥 는다."
"디지털 시그니처","합법적인 디지털 시그니처로 서명까지 되어 있었다."
"디지털 에이징","고령층의 디지털 접근성을 높이는 디지털 에이징 교육을 확대한다."
"디지털 워커","ㅅ기업이 '디지털 워커'라 불리는 종류의 서비스를 소개했다."
"디지털 트윈","디지털 트윈으로 가상 공간에 우리 국토를 구현해 모의실험을 할 수 있다."
"디지털 퍼스트","은행 업계들은 모두 디지털 퍼스트를 핵심 경영 전략으로 채택했다."
"디지털 포렌식","디지털 포렌식은 속도보다 정확성·무결성이 우선이다."
"디카페인","커피의 염증 완화 효과, 디카페인 커피도 같을까?"
"디커플링","신축·구축의 디커플링 심화, 아파트면 무조건 수요 많던 시대는 지났다."
"디테일","주택 공급의 현실성 여부와 재원 마련 근거 같은 디테일한 부분을 보완해야 한다."
"디텍터","문화재 보존, 복원 작업을 위한 산업용 엑스선 디텍터가 도입되었다."
"디토 소비","자신이 좋아하는 콘텐츠나 유명인을 따라 소비할 때 '디토 소비'라고 한다."
"디톡스","지역 먹거리 활용한 생활 속 '디톡스' 따라잡기가 유행이다."
"디펜스","복합 상영관들이 생존을 건 ‘코로나 디펜스’ 전략을 펼치느라 고전하고 있다."
"디폴트","올해 디폴트 국가가 역대 최대로 증가할 것으로 보인다."
"디폴트 밸류","전자 기기, 휴대 전화 등에는 제조사가 맞춰 놓은 디폴트 밸류가 있다."
"디폴트 옵션","노후 보장 위한 퇴직 연금에 디폴트 옵션 도입으로 수익률 높여야 한다."
"디퓨저","시 청사 본관과 현관에 대용량 디퓨저를 설치했다."
"디플레이션","디플레이션 전망이 금값을 끌어올리고 있는 것으로 나타났다."
